open;high;low;close;volume;time;datetime;Time2;fvg_bearish;fvg_bullish;fvg_bearish_high;fvg_bearish_low;fvg_bullish_high;fvg_bullish_low
0.0073407;0.0073435;0.0073253;0.0073258;2198734.0;1714309020000;2024-04-28 12:57:00+00:00;2024-04-28 12:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073257;0.0073375;0.007316;0.0073186;6979816.0;1714309200000;2024-04-28 13:00:00+00:00;2024-04-28 13:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073188;0.0073284;0.0072973;0.0073284;4967027.0;1714309380000;2024-04-28 13:03:00+00:00;2024-04-28 13:03:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073251;0.007343;0.0073228;0.0073428;2740429.0;1714309560000;2024-04-28 13:06:00+00:00;2024-04-28 13:06:00+00:00;0.0;1.0;0.0;0.0;0.0073401;0.0073284
0.0073427;0.0074013;0.0073401;0.0073957;18104876.0;1714309740000;2024-04-28 13:09:00+00:00;2024-04-28 13:09:00+00:00;0.0;1.0;0.0;0.0;0.0073774;0.007343
0.0073975;0.0074243;0.0073774;0.007381;9574128.0;1714309920000;2024-04-28 13:12:00+00:00;2024-04-28 13:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073809;0.0074035;0.0073733;0.007387;4058507.0;1714310100000;2024-04-28 13:15:00+00:00;2024-04-28 13:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073909;0.0074502;0.0073909;0.0074305;15896619.0;1714310280000;2024-04-28 13:18:00+00:00;2024-04-28 13:18:00+00:00;0.0;1.0;0.0;0.0;0.0074275;0.0074035
0.0074306;0.0074747;0.0074275;0.0074484;10394340.0;1714310460000;2024-04-28 13:21:00+00:00;2024-04-28 13:21:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074484;0.0074517;0.0074163;0.0074288;13083901.0;1714310640000;2024-04-28 13:24:00+00:00;2024-04-28 13:24:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074287;0.0074429;0.0074135;0.0074266;3582992.0;1714310820000;2024-04-28 13:27:00+00:00;2024-04-28 13:27:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074291;0.0074805;0.0074145;0.0074573;8609374.0;1714311000000;2024-04-28 13:30:00+00:00;2024-04-28 13:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007456;0.0074591;0.0074236;0.0074423;8700460.0;1714311180000;2024-04-28 13:33:00+00:00;2024-04-28 13:33:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074418;0.0074743;0.0074401;0.007457;2738344.0;1714311360000;2024-04-28 13:36:00+00:00;2024-04-28 13:36:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074573;0.007464;0.0074431;0.0074588;6118966.0;1714311540000;2024-04-28 13:39:00+00:00;2024-04-28 13:39:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074588;0.0074648;0.0074472;0.0074472;1292141.0;1714311720000;2024-04-28 13:42:00+00:00;2024-04-28 13:42:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074483;0.0074511;0.0074189;0.0074327;5522694.0;1714311900000;2024-04-28 13:45:00+00:00;2024-04-28 13:45:00+00:00;1.0;0.0;0.0074472;0.0074357;0.0;0.0
0.0074342;0.0074357;0.0074071;0.0074148;12072420.0;1714312080000;2024-04-28 13:48:00+00:00;2024-04-28 13:48:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074148;0.0074193;0.0073998;0.0074013;4082541.0;1714312260000;2024-04-28 13:51:00+00:00;2024-04-28 13:51:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074013;0.0074279;0.0073993;0.0074246;4321297.0;1714312440000;2024-04-28 13:54:00+00:00;2024-04-28 13:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074249;0.0074293;0.0074146;0.0074169;2632762.0;1714312620000;2024-04-28 13:57:00+00:00;2024-04-28 13:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074168;0.0074224;0.0074001;0.0074035;6355819.0;1714312800000;2024-04-28 14:00:00+00:00;2024-04-28 14:00:00+00:00;1.0;0.0;0.0074146;0.0074035;0.0;0.0
0.0074034;0.0074035;0.0073714;0.0073815;5907198.0;1714312980000;2024-04-28 14:03:00+00:00;2024-04-28 14:03:00+00:00;1.0;0.0;0.0074001;0.007391;0.0;0.0
0.0073814;0.007391;0.0073608;0.0073841;10264956.0;1714313160000;2024-04-28 14:06:00+00:00;2024-04-28 14:06:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073842;0.0073977;0.0073741;0.0073741;7974277.0;1714313340000;2024-04-28 14:09:00+00:00;2024-04-28 14:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073741;0.0073825;0.0073692;0.0073781;1808085.0;1714313520000;2024-04-28 14:12:00+00:00;2024-04-28 14:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073805;0.0073867;0.0073478;0.007352;8597603.0;1714313700000;2024-04-28 14:15:00+00:00;2024-04-28 14:15:00+00:00;1.0;0.0;0.0073692;0.0073683;0.0;0.0
0.007352;0.0073683;0.0073475;0.0073512;4011475.0;1714313880000;2024-04-28 14:18:00+00:00;2024-04-28 14:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073499;0.0073571;0.0073346;0.0073555;9230127.0;1714314060000;2024-04-28 14:21:00+00:00;2024-04-28 14:21:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073555;0.0073949;0.0073554;0.0073762;9624160.0;1714314240000;2024-04-28 14:24:00+00:00;2024-04-28 14:24:00+00:00;0.0;1.0;0.0;0.0;0.007372;0.0073571
0.0073762;0.0074015;0.007372;0.0073968;3898041.0;1714314420000;2024-04-28 14:27:00+00:00;2024-04-28 14:27:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0073968;0.0074151;0.0073868;0.0074148;4979464.0;1714314600000;2024-04-28 14:30:00+00:00;2024-04-28 14:30:00+00:00;0.0;1.0;0.0;0.0;0.0074073;0.0074015
